Datekey,Date,Day_Of_Month,Day_Name,Day_Of_Week,Month,Month_Name,Wk_StartDate,Wk_EndDate,Week_Of_Month,Year,Month_Year,IsWeekday,IsHoliday,DateStyle1,DateStyle2,DateStyle3,DateStyle4
42736,01/01/2017,1,Sunday,1,1,January,01/01/2017,07/01/2017,January Week 1,2017,Jan-2017,Weekend,,1 January 2017,"Sunday, January 1, 2017",1 Jan 2017,1 Jan 
42737,02/01/2017,2,Monday,2,1,January,01/01/2017,07/01/2017,January Week 1,2017,Jan-2017,Weekday,,2 January 2017,"Monday, January 2, 2017",2 Jan 2017,2 Jan 
42738,03/01/2017,3,Tuesday,3,1,January,01/01/2017,07/01/2017,January Week 1,2017,Jan-2017,Weekday,,3 January 2017,"Tuesday, January 3, 2017",3 Jan 2017,3 Jan 
42739,04/01/2017,4,Wednesday,4,1,January,01/01/2017,07/01/2017,January Week 1,2017,Jan-2017,Weekday,,4 January 2017,"Wednesday, January 4, 2017",4 Jan 2017,4 Jan 
42740,05/01/2017,5,Thursday,5,1,January,01/01/2017,07/01/2017,January Week 1,2017,Jan-2017,Weekday,,5 January 2017,"Thursday, January 5, 2017",5 Jan 2017,5 Jan 
42741,06/01/2017,6,Friday,6,1,January,01/01/2017,07/01/2017,January Week 1,2017,Jan-2017,Weekday,,6 January 2017,"Friday, January 6, 2017",6 Jan 2017,6 Jan 
42742,07/01/2017,7,Saturday,7,1,January,01/01/2017,07/01/2017,January Week 1,2017,Jan-2017,Weekend,,7 January 2017,"Saturday, January 7, 2017",7 Jan 2017,7 Jan 
42743,08/01/2017,8,Sunday,1,1,January,08/01/2017,14/01/2017,January Week 2,2017,Jan-2017,Weekend,,8 January 2017,"Sunday, January 8, 2017",8 Jan 2017,8 Jan 
42744,09/01/2017,9,Monday,2,1,January,08/01/2017,14/01/2017,January Week 2,2017,Jan-2017,Weekday,,9 January 2017,"Monday, January 9, 2017",9 Jan 2017,9 Jan 
42745,10/01/2017,10,Tuesday,3,1,January,08/01/2017,14/01/2017,January Week 2,2017,Jan-2017,Weekday,,10 January 2017,"Tuesday, January 10, 2017",10 Jan 2017,10 Jan 
42746,11/01/2017,11,Wednesday,4,1,January,08/01/2017,14/01/2017,January Week 2,2017,Jan-2017,Weekday,,11 January 2017,"Wednesday, January 11, 2017",11 Jan 2017,11 Jan 
42747,12/01/2017,12,Thursday,5,1,January,08/01/2017,14/01/2017,January Week 2,2017,Jan-2017,Weekday,,12 January 2017,"Thursday, January 12, 2017",12 Jan 2017,12 Jan 
42748,13/01/2017,13,Friday,6,1,January,08/01/2017,14/01/2017,January Week 2,2017,Jan-2017,Weekday,,13 January 2017,"Friday, January 13, 2017",13 Jan 2017,13 Jan 
42749,14/01/2017,14,Saturday,7,1,January,08/01/2017,14/01/2017,January Week 2,2017,Jan-2017,Weekend,,14 January 2017,"Saturday, January 14, 2017",14 Jan 2017,14 Jan 
42750,15/01/2017,15,Sunday,1,1,January,15/01/2017,21/01/2017,January Week 3,2017,Jan-2017,Weekend,,15 January 2017,"Sunday, January 15, 2017",15 Jan 2017,15 Jan 
42751,16/01/2017,16,Monday,2,1,January,15/01/2017,21/01/2017,January Week 3,2017,Jan-2017,Weekday,,16 January 2017,"Monday, January 16, 2017",16 Jan 2017,16 Jan 
42752,17/01/2017,17,Tuesday,3,1,January,15/01/2017,21/01/2017,January Week 3,2017,Jan-2017,Weekday,,17 January 2017,"Tuesday, January 17, 2017",17 Jan 2017,17 Jan 
42753,18/01/2017,18,Wednesday,4,1,January,15/01/2017,21/01/2017,January Week 3,2017,Jan-2017,Weekday,,18 January 2017,"Wednesday, January 18, 2017",18 Jan 2017,18 Jan 
42754,19/01/2017,19,Thursday,5,1,January,15/01/2017,21/01/2017,January Week 3,2017,Jan-2017,Weekday,,19 January 2017,"Thursday, January 19, 2017",19 Jan 2017,19 Jan 
42755,20/01/2017,20,Friday,6,1,January,15/01/2017,21/01/2017,January Week 3,2017,Jan-2017,Weekday,,20 January 2017,"Friday, January 20, 2017",20 Jan 2017,20 Jan 
42756,21/01/2017,21,Saturday,7,1,January,15/01/2017,21/01/2017,January Week 3,2017,Jan-2017,Weekend,,21 January 2017,"Saturday, January 21, 2017",21 Jan 2017,21 Jan 
42757,22/01/2017,22,Sunday,1,1,January,22/01/2017,28/01/2017,January Week 4,2017,Jan-2017,Weekend,,22 January 2017,"Sunday, January 22, 2017",22 Jan 2017,22 Jan 
42758,23/01/2017,23,Monday,2,1,January,22/01/2017,28/01/2017,January Week 4,2017,Jan-2017,Weekday,,23 January 2017,"Monday, January 23, 2017",23 Jan 2017,23 Jan 
